xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
0,0,-0.004956,-0.019454,-0.997173,0.029,0.15
0.01,0,-0.003656,-0.02004,-0.99702,0.072,0.141
0.02,0,-0.002688,-0.019581,-0.994421,0.114,0.111
0.03,0,-0.002102,-0.01818,-0.990599,0.106,0.077
0.04,0,-0.001236,-0.01683,-0.989299,0.063,0.056
0.05,0,0.000242,-0.016294,-0.992357,0.045,0.068
0.06,0,0.001414,-0.016779,-0.997274,0.021,0.104
0.07,0,0.001491,-0.018358,-1.000409,-0.013,0.12
0.08,0,0.001185,-0.019785,-0.999797,-0.016,0.114
0.09,0,0.001236,-0.020422,-0.995363,-0.001,0.101
0.1,0,0.000956,-0.020422,-0.990879,0.014,0.077
0.11,0,-0.000599,-0.019862,-0.990064,0.053,0.05
0.12,0,-0.002917,-0.019174,-0.992,0.099,0.022
0.13,0,-0.004574,-0.017849,-0.993631,0.124,0.028
0.14,0,-0.004879,-0.015989,-0.99358,0.106,0.073
0.15,0,-0.004242,-0.014995,-0.993121,0.072,0.128
0.16,0,-0.003656,-0.015759,-0.993402,0.078,0.168
0.17,0,-0.003809,-0.017365,-0.994039,0.096,0.153
0.18,0,-0.004395,-0.018256,-0.994523,0.1,0.111
0.19,0,-0.004497,-0.018639,-0.993988,0.094,0.077
0.2,0,-0.004319,-0.018791,-0.992306,0.054,0.074
0.21,0,-0.004115,-0.018868,-0.991261,0.006,0.098
0.22,0,-0.003707,-0.019454,-0.992255,-0.019,0.116
0.23,0,-0.002968,-0.019811,-0.995542,-0.034,0.105
0.24,0,-0.002612,-0.019046,-0.998829,-0.022,0.086
0.25,0,-0.002841,-0.017696,-0.999517,0.014,0.098
0.26,0,-0.0033,-0.016906,-0.99758,0.03,0.116
0.27,0,-0.00358,-0.017212,-0.995007,0.006,0.12
0.28,0,-0.003631,-0.017823,-0.994191,-0.019,0.129
0.29,0,-0.003554,-0.017645,-0.994752,-0.025,0.135
0.3,0,-0.003733,-0.017237,-0.994599,0.008,0.111
0.31,0,-0.004191,-0.017365,-0.99414,0.066,0.077
0.32,0,-0.004778,-0.018129,-0.995032,0.09,0.056
0.33,0,-0.005185,-0.019301,-0.996,0.063,0.05
0.34,0,-0.004676,-0.019811,-0.996204,0.021,0.059
0.35,0,-0.003427,-0.019581,-0.996128,-0.004,0.083
0.36,0,-0.002637,-0.018893,-0.995236,-0.01,0.095
0.37,0,-0.002102,-0.018078,-0.994064,-0.019,0.086
0.38,0,-0.001236,-0.017543,-0.993656,-0.025,0.08
0.39,0,-0.001057,-0.017161,-0.993886,-0.034,0.08
0.4,0,-0.00228,-0.017237,-0.994191,-0.031,0.047
0.41,0,-0.004217,-0.018002,-0.994752,-0.007,0.007
0.42,0,-0.005491,-0.018639,-0.995287,-0.013,0.022
0.43,0,-0.004956,-0.018562,-0.99437,-0.04,0.088
0.44,0,-0.003096,-0.017798,-0.991975,-0.035,0.162
0.45,0,-0.001771,-0.017008,-0.990395,0.008,0.184
0.46,0,-0.001694,-0.016677,-0.990777,0.099,0.162
0.47,0,-0.001847,-0.016931,-0.992077,0.187,0.126
0.48,0,-0.001236,-0.017976,-0.993249,0.197,0.101
0.49,0,-0.000599,-0.019148,-0.995109,0.143,0.086
0.5,0,-0.000217,-0.019709,-0.99837,0.1,0.08
0.51,0,0.000395,-0.019658,-1.001657,0.09,0.08
0.52,0,0.001083,-0.019327,-1.002829,0.096,0.08
0.53,0,0.001108,-0.018792,-1.000307,0.1,0.08
0.54,0,0.000344,-0.018231,-0.995414,0.085,0.071
0.55,0,-0.000217,-0.018104,-0.991822,0.075,0.092
0.56,0,-0.000395,-0.018613,-0.991389,0.108,0.116
0.57,0,-0.001057,-0.019072,-0.992892,0.139,0.129
0.58,0,-0.002077,-0.019021,-0.99465,0.118,0.135
