xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
0,0,0.003274,-0.018282,-0.990879,0.179,0.101
0.01,0,0.00307,-0.016779,-0.991236,0.152,0.053
0.02,0,0.003249,-0.018307,-0.993733,0.088,0.007
0.03,0,0.005032,-0.021645,-0.996739,0.06,0.013
0.04,0,0.007427,-0.024575,-0.998319,0.06,0.04
0.05,0,0.00888,-0.026155,-0.996867,0.06,0.05
0.06,0,0.009848,-0.027404,-0.992178,0.069,0.059
0.07,0,0.010638,-0.028194,-0.988306,0.075,0.092
0.08,0,0.011275,-0.026665,-0.989121,0.084,0.125
0.09,0,0.01153,-0.02241,-0.99279,0.09,0.135
0.1,0,0.01153,-0.017874,-0.994803,0.081,0.126
0.11,0,0.011148,-0.015938,-0.993835,0.057,0.105
0.12,0,0.010281,-0.017951,-0.992102,0.03,0.062
0.13,0,0.008956,-0.022486,-0.991108,0.053,0.022
0.14,0,0.00758,-0.027506,-0.991465,0.132,0.019
0.15,0,0.006841,-0.031175,-0.991873,0.206,0.049
0.16,0,0.007071,-0.031837,-0.992714,0.23,0.092
0.17,0,0.007784,-0.029468,-0.995185,0.23,0.116
0.18,0,0.009084,-0.025263,-0.997071,0.212,0.105
0.19,0,0.010052,-0.021314,-0.996485,0.176,0.068
0.2,0,0.00995,-0.020397,-0.995822,0.133,0.044
0.21,0,0.009135,-0.022384,-0.996663,0.115,0.055
0.22,0,0.007886,-0.024575,-0.996918,0.106,0.083
0.23,0,0.006332,-0.02506,-0.995032,0.067,0.104
0.24,0,0.00437,-0.024295,-0.992841,0.03,0.101
0.25,0,0.002433,-0.023352,-0.992663,0.053,0.068
0.26,0,0.001567,-0.022461,-0.993019,0.117,0.035
0.27,0,0.002688,-0.02241,-0.992102,0.154,0.025
0.28,0,0.005644,-0.023149,-0.990191,0.166,0.034
0.29,0,0.009211,-0.023658,-0.989172,0.17,0.04
0.3,0,0.01209,-0.023837,-0.990293,0.17,0.082
0.31,0,0.012829,-0.02404,-0.992561,0.164,0.143
0.32,0,0.011606,-0.024295,-0.993758,0.124,0.174
0.33,0,0.010434,-0.024474,-0.9933,0.067,0.186
0.34,0,0.010128,-0.024142,-0.992204,0.072,0.184
0.35,0,0.009899,-0.022512,-0.99144,0.147,0.162
0.36,0,0.008982,-0.019989,-0.992917,0.194,0.108
0.37,0,0.008625,-0.019225,-0.997555,0.158,0.047
0.38,0,0.009644,-0.021416,-1.002039,0.112,0.049
0.39,0,0.01102,-0.02534,-1.002396,0.118,0.107
0.4,0,0.010918,-0.029366,-0.99809,0.154,0.162
0.41,0,0.009211,-0.032118,-0.991643,0.179,0.171
0.42,0,0.006892,-0.032092,-0.986649,0.185,0.147
0.43,0,0.005313,-0.029009,-0.986573,0.176,0.126
0.44,0,0.005516,-0.023658,-0.991669,0.164,0.114
0.45,0,0.007071,-0.018078,-0.998243,0.175,0.092
0.46,0,0.008141,-0.015989,-1.000944,0.203,0.038
0.47,0,0.00781,-0.018588,-0.998064,0.215,-0.014
0.48,0,0.006994,-0.023225,-0.991796,0.188,-0.015
0.49,0,0.006689,-0.02692,-0.98535,0.137,0.028
0.5,0,0.0073,-0.028856,-0.982725,0.1,0.077
0.51,0,0.008319,-0.028525,-0.985401,0.105,0.11
0.52,0,0.010026,-0.025442,-0.99065,0.115,0.12
0.53,0,0.012651,-0.019785,-0.99465,0.115,0.114
0.54,0,0.014434,-0.014766,-0.995746,0.115,0.059
0.55,0,0.013313,-0.014027,-0.99516,0.106,-0.008
0.56,0,0.009313,-0.019021,-0.994726,0.085,-0.057
0.57,0,0.004344,-0.028397,-0.994064,0.084,-0.066
0.58,0,0.000675,-0.037265,-0.99251,0.114,-0.036
0.59,0,-0.000369,-0.040169,-0.991363,0.121,0.016
0.6,0,0.000675,-0.035557,-0.992866,0.115,0.064
0.61,0,0.002866,-0.026435,-0.996561,0.115,0.098
0.62,0,0.005491,-0.018078,-0.999313,0.115,0.101
0.63,0,0.007326,-0.013772,-0.998803,0.1,0.077
0.64,0,0.007988,-0.013721,-0.995848,0.063,0.023
0.65,0,0.008243,-0.016855,-0.992892,0.063,-0.02
