xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[ｰ/s],MM5_yawRate[ｰ/s]
0,0,-0.009874,-0.012727,-0.995542,0.16,0.112
0.01,0,-0.010205,-0.013313,-0.992764,0.168,0.098
0.02,0,-0.00995,-0.013237,-0.992255,0.15,0.083
0.03,0,-0.009058,-0.012676,-0.992765,0.133,0.104
0.04,0,-0.008039,-0.012447,-0.993198,0.154,0.13
0.05,0,-0.007529,-0.012727,-0.994089,0.18,0.123
0.06,0,-0.007759,-0.013313,-0.996536,0.129,0.076
0.07,0,-0.008141,-0.013746,-0.998829,0.059,0.053
0.08,0,-0.008217,-0.013823,-0.997835,-0.011,0.062
0.09,0,-0.007402,-0.014434,-0.99493,-0.037,0.089
0.1,0,-0.006892,-0.015708,-0.993682,-0.028,0.083
0.11,0,-0.007733,-0.015989,-0.993529,0.011,0.056
0.12,0,-0.009084,-0.015479,-0.993019,0.04,0.03
0.13,0,-0.009364,-0.015046,-0.993809,0.033,0.025
0.14,0,-0.008956,-0.01446,-0.995669,0.01,0.057
0.15,0,-0.00916,-0.013313,-0.996688,0.025,0.077
0.16,0,-0.009746,-0.011937,-0.99623,0.066,0.08
0.17,0,-0.009874,-0.010842,-0.995873,0.095,0.08
0.18,0,-0.008854,-0.010944,-0.995516,0.092,0.08
0.19,0,-0.007173,-0.011632,-0.994828,0.034,0.08
0.2,0,-0.006714,-0.011988,-0.994777,-0.028,0.068
0.21,0,-0.0073,-0.011734,-0.995516,-0.072,0.065
0.22,0,-0.008268,-0.011249,-0.995185,-0.048,0.089
0.23,0,-0.009695,-0.011555,-0.995058,0.016,0.095
0.24,0,-0.011428,-0.012574,-0.995975,0.054,0.083
0.25,0,-0.012294,-0.013415,-0.996714,0.036,0.104
0.26,0,-0.012218,-0.014383,-0.99572,0.022,0.11
0.27,0,-0.011555,-0.015097,-0.993402,0.064,0.086
0.28,0,-0.010791,-0.014919,-0.991771,0.119,0.056
0.29,0,-0.009619,-0.014434,-0.992306,0.162,0.062
0.3,0,-0.008956,-0.014536,-0.993427,0.17,0.053
0.31,0,-0.00865,-0.014587,-0.993656,0.138,0.03
0.32,0,-0.008498,-0.014587,-0.993554,0.118,0.025
0.33,0,-0.009084,-0.014078,-0.994548,0.115,0.025
0.34,0,-0.009848,-0.013645,-0.996332,0.115,0.037
0.35,0,-0.009389,-0.013568,-0.997325,0.127,0.06
