Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
0.01,-0.0149057723537043,0.0307205094531191,-0.995411065239349,0.127,0.011
0.02,-0.0142557730634139,0.0202856693876045,-0.995271176348532,0.097,0.029
0.03,-0.0136056808416903,0.0170846886671385,-0.995042284929445,0.07,0.068
0.04,-0.0140135097068954,0.0185606007165064,-0.995003263282132,0.03,0.096
0.05,-0.014612435943981,0.0234515652874601,-0.994545292382663,0.034,0.107
0.06,-0.0147906285776086,0.0327250384966319,-0.993449342402951,0.079,0.078
0.07,-0.014281708548892,0.029980582180333,-0.992838328011083,0.115,0.065
0.08,-0.0137847121005836,0.0263468352238572,-0.992494337252458,0.113,0.066
0.09,-0.0134526465404481,0.0232584243031922,-0.992532369013921,0.086,0.08
0.1,-0.013529611245511,0.024376980799809,-0.992812303518769,0.041,0.08
0.11,-0.0131475885483273,0.0235336480149375,-0.992162232456078,0.003,0.08
0.12,-0.0127775861027549,0.024335014240746,-0.991500214318014,-0.008,0.08
0.13,-0.0125995848499453,0.0253993199722011,-0.99178024905654,0.007,0.083
0.14,-0.013108435838541,0.0211927164755047,-0.992277320056059,0.03,0.11
0.15,-0.0135674285406705,0.024867604611234,-0.992761312360701,0.03,0.11
0.16,-0.013554428747364,0.0257725902221865,-0.994150290276296,0.03,0.11
0.17,-0.013452430369113,0.026689575642345,-0.995233273057137,0.03,0.11
0.18,-0.0136314275231025,0.026651576246526,-0.994545283995993,0.03,0.11
0.19,-0.0142814461731471,0.026993992529379,-0.993564283484362,0.026,0.105
0.2,-0.0150456302142995,0.0318950329436442,-0.994265164053374,-0.013,0.062
0.21,-0.0158606804775384,0.0282880929386449,-0.996558097485901,-0.035,0.041
0.22,-0.017020645560001,0.0257274148462613,-0.9973991605771,0.012,0.053
0.23,-0.017122578488171,0.0247207823824249,-0.995322320202611,0.079,0.081
0.24,-0.0169055540600334,0.0261693364651748,-0.991933443745167,0.113,0.093
