Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
0.01,-0.0036554021426071,-0.0018965018811852,-0.997004423486716,0.072,0.141
0.02,-0.00268768298646975,0.0273566884297997,-0.994405470891841,0.114,0.111
0.03,-0.00210185421152441,0.0239770226706884,-0.990583404659239,0.106,0.077
0.04,-0.00123591344603179,0.0183462895918234,-0.989283345905509,0.063,0.056
0.05,0.000242115070963862,0.0131182585555193,-0.992341300716039,0.045,0.068
0.06,0.00141430275172218,0.00887934795980647,-0.997258209514209,0.021,0.104
0.07,0.00149145157976133,0.0135813776557421,-1.0003930425078,-0.013,0.12
0.08,0.00118541404263379,0.0207216018687663,-0.999781042972014,-0.016,0.114
0.09,0.00123630753912288,0.023617721929201,-0.995347170986468,-0.001,0.101
0.1,0.00095616421132289,0.0256336967463464,-0.990863278139566,0.014,0.077
0.11,-0.000598935604273822,0.0269251664611133,-0.990048316641673,0.053,0.05
0.12,-0.00291695875526259,0.0268000956079316,-0.991984204592532,0.099,0.022
0.13,-0.00457393506209872,0.0181049784752907,-0.993615167281235,0.124,0.028
0.14,-0.0048788252342593,0.00676533895343071,-0.993564343703016,0.106,0.073
0.15,-0.00424149580360233,0.00307088404679065,-0.99310545554494,0.072,0.128
0.16,-0.00365516326565259,0.00875334429720724,-0.99338656690044,0.078,0.168
0.17,-0.00380832981115552,0.0210900175969771,-0.994023577788385,0.096,0.153
0.18,-0.00439464113884828,0.0261700097143449,-0.994507447926471,0.1,0.111
0.19,-0.00449680738741518,0.0245444861642579,-0.993972343939458,0.094,0.077
0.2,-0.0043187940222432,0.0171710967174624,-0.992290323028349,0.054,0.074
0.21,-0.00411463299587414,0.0118659105035386,-0.99124525790967,0.006,0.098
0.22,-0.00370648986954506,0.0147989379155255,-0.992239149739652,-0.019,0.116
0.23,-0.00296756643640783,0.0210131288963509,-0.99552604626843,-0.034,0.105
0.24,-0.00261170403527944,0.0231786602472868,-0.998813054030233,-0.022,0.086
0.25,-0.00284066067167316,0.0174489476333003,-0.999501150202008,0.014,0.098
0.26,-0.00329955013445269,0.0144746296519715,-0.997564241751927,0.03,0.116
0.27,-0.00357948937196871,0.0151769950888368,-0.994991202571594,0.006,0.12
